Method,Accuracy (%),Precision (%),Recall (%),F1 (%),AUC,Detection Rate (%)
FedAvg,99.48203649579321,79.45744015021123,99.9630905511811,88.53848836195624,0.9972982308503577,0.0
FedProx,99.48203649579321,79.45744015021123,99.9630905511811,88.53848836195624,0.9972982308503577,0.0
FLAME,99.48203649579321,79.45744015021123,99.9630905511811,88.53848836195624,0.9972982308503577,0.0
SCAFFOLD,99.48203649579321,79.45744015021123,99.9630905511811,88.53848836195624,0.9972987331514539,0.0
FedNova,99.48203649579321,79.45744015021123,99.9630905511811,88.53848836195624,0.9972982308503577,0.0
SecureFed+,99.75717075116528,89.19500362215442,99.97785433070867,94.27911779378836,0.9986760620526869,0.0
DeSecureFed,99.95937251464436,98.28518761066239,99.70964566929133,98.99229256495133,0.9989402667043114,0.0
DeSecureFed (Attack),99.61041934951702,83.7141267846474,99.98523622047244,91.12907747339621,0.9979782889634154,0.0
