Method,Measured_Accuracy (%),Reported_Accuracy (%),Measured_Precision (%),Reported_Precision (%),Measured_Recall (%),Reported_Recall (%),Measured_F1 (%),Reported_F1 (%),Measured_AUC,Reported_AUC,Measured_Detection Rate (%),Reported_Detection Rate (%)
FedAvg,99.12757079510118,99.8,69.65491587501431,76.5,99.89986621469669,89.7,82.07986458828567,82.5,0.999181533845152,0.992,0.0,0.0
FedProx,99.12757079510118,98.9,69.65491587501431,83.1,99.89986621469669,83.1,82.07986458828567,83.1,0.999181533845152,0.989,0.0,0.0
FLAME,99.12757079510118,99.0,69.65491587501431,84.0,99.89986621469669,84.0,82.07986458828567,84.0,0.999181533845152,0.99,0.0,0.0
RFLBAT,99.12757079510118,99.1,69.65491587501431,85.0,99.89986621469669,85.0,82.07986458828567,85.0,0.999181533845152,0.991,0.0,0.0
SCAFFOLD,99.10741268526215,99.7,69.1629455408983,85.0,99.92202697046054,85.0,81.74471813844806,85.0,0.9991230835800945,0.992,0.0,0.0
FedNova,99.12757079510118,99.1,69.65491587501431,86.2,99.89986621469669,86.2,82.07986458828567,86.2,0.999181533845152,0.991,0.0,0.0
SecureFed+,99.14603811885439,99.8,70.10279593423364,78.8,99.9121777456766,89.7,82.39418983220637,83.89999999999999,0.9992022775758577,0.992,0.0,0.0
DeSecureFed,99.11974064982984,99.9,69.45374484516972,85.7,99.94254618876039,82.8,81.95438117095955,84.2,0.9991352226054,0.989,0.0,0.0
DeSecureFed (Attack),98.95200810395413,99.8,65.76062439194074,73.0,99.30562965273275,93.10000000000001,79.12459453803496,81.8,0.9988675278034831,0.993,0.0,12.5
