Method,Measured_Accuracy (%),Reported_Accuracy (%),Measured_Precision (%),Reported_Precision (%),Measured_Recall (%),Reported_Recall (%),Measured_F1 (%),Reported_F1 (%),Measured_AUC,Reported_AUC,Measured_Detection Rate (%),Reported_Detection Rate (%)
FedAvg,99.48203649579321,99.8,79.45744015021123,76.5,99.9630905511811,89.7,88.53848836195624,82.5,0.9972982308503577,0.992,0.0,0.0
FedProx,99.48203649579321,98.9,79.45744015021123,83.1,99.9630905511811,83.1,88.53848836195624,83.1,0.9972982308503577,0.989,0.0,0.0
FLAME,99.48203649579321,99.0,79.45744015021123,84.0,99.9630905511811,84.0,88.53848836195624,84.0,0.9972982308503577,0.99,0.0,0.0
SCAFFOLD,99.48203649579321,99.7,79.45744015021123,85.0,99.9630905511811,85.0,88.53848836195624,85.0,0.9972987331514539,0.992,0.0,0.0
FedNova,99.48203649579321,99.1,79.45744015021123,86.2,99.9630905511811,86.2,88.53848836195624,86.2,0.9972982308503577,0.991,0.0,0.0
SecureFed+,99.75717075116528,99.8,89.19500362215442,78.8,99.97785433070867,89.7,94.27911779378836,83.89999999999999,0.9986760620526869,0.992,0.0,0.0
DeSecureFed,99.95937251464436,99.9,98.28518761066239,85.7,99.70964566929133,82.8,98.99229256495133,84.2,0.9989402667043114,0.989,0.0,0.0
DeSecureFed (Attack),99.61041934951702,99.8,83.7141267846474,73.0,99.98523622047244,93.10000000000001,91.12907747339621,81.8,0.9979782889634154,0.993,0.0,12.5
